site_id,habitat,area,rubble,k,Reef,reef_siteid,long,lat,sitedepth,recom_connectivity
ER_BR_26,Back Reef,27537.02472,FALSE,38.33892617,Elford,Elford_ER_BR_26,146.2383492,-16.91625574,-9.198933335,134
ER_BR_27,Back Reef,6886.046695,FALSE,41.42857143,Elford,Elford_ER_BR_27,146.2844211,-16.91523146,-3.767630771,33
ER_BR_28,Back Reef,44125.21731,TRUE,22.95851528,Elford,Elford_ER_BR_28,146.2469225,-16.91774792,-11.35929257,111
ER_BR_29,Back Reef,4693.506258,FALSE,48.93617021,Elford,Elford_ER_BR_29,146.22489,-16.91722667,-3.217531919,177
ER_BR_3,Back Reef,9071.906462,FALSE,35,Elford,Elford_ER_BR_3,146.2290545,-16.90133181,-16.52055822,163
ER_BR_30,Back Reef,13145.8731,FALSE,33.43065693,Elford,Elford_ER_BR_30,146.2698858,-16.91943316,-13.498916,67
ER_BR_31,Back Reef,30042.78226,FALSE,23.93987342,Elford,Elford_ER_BR_31,146.2403387,-16.9202633,-9.506601378,133
ER_BR_32,Back Reef,6260.24684,FALSE,5.970149254,Elford,Elford_ER_BR_32,146.2795123,-16.91891302,-5.023783358,46
ER_BR_33,Back Reef,28472.72963,FALSE,31.76369863,Elford,Elford_ER_BR_33,146.2116963,-16.91944581,-8.481659714,221
ER_BR_34,Back Reef,24105.82237,FALSE,35,Elford,Elford_ER_BR_34,146.3022876,-16.92034019,-16.89450925,6
ER_BR_35,Back Reef,12832.69009,FALSE,29.61538462,Elford,Elford_ER_BR_35,146.2649385,-16.92033784,-12.85504837,73
ER_BR_36,Back Reef,27849.03376,FALSE,28.46020761,Elford,Elford_ER_BR_36,146.219308,-16.92113773,-5.902968089,198
ER_BR_37,Back Reef,15649.39344,FALSE,36.02484472,Elford,Elford_ER_BR_37,146.2602629,-16.92114062,-10.97018589,83
ER_BR_38,Back Reef,13143.52322,FALSE,50.41353383,Elford,Elford_ER_BR_38,146.2364272,-16.92078831,-4.905183845,142
ER_BR_39,Back Reef,30047.38197,FALSE,31.66666667,Elford,Elford_ER_BR_39,146.2549658,-16.92411091,-7.178937916,87
ER_BR_4,Back Reef,27211.71401,FALSE,25.73883162,Elford,Elford_ER_BR_4,146.1976608,-16.90387766,-12.95776205,258
ER_BR_40,Back Reef,15335.64895,FALSE,33.57575758,Elford,Elford_ER_BR_40,146.248075,-16.92257008,-5.429374136,101
ER_BR_41,Back Reef,16593.11884,FALSE,35,Elford,Elford_ER_BR_41,146.2993736,-16.92423312,-15.40050646,9
ER_BR_42,Back Reef,24107.70372,FALSE,34.42,Elford,Elford_ER_BR_42,146.2947626,-16.92764287,-15.18700004,16
ER_BR_43,Back Reef,3130.295775,FALSE,45.16129032,Elford,Elford_ER_BR_43,146.2625483,-16.92822813,-4.682965509,78
ER_BR_44,Back Reef,18158.863,FALSE,34.81865285,Elford,Elford_ER_BR_44,146.2850846,-16.93047717,-17.55982877,30
ER_BR_5,Back Reef,7511.704863,FALSE,35,Elford,Elford_ER_BR_5,146.3063102,-16.90472392,-15.74397177,4
ER_BR_6,Back Reef,15330.07562,TRUE,32.56329114,Elford,Elford_ER_BR_6,146.2368239,-16.90505084,-15.29056666,144
ER_BR_7,Back Reef,32237.47596,FALSE,35,Elford,Elford_ER_BR_7,146.2985799,-16.9069933,-14.43585891,12
ER_BR_8,Back Reef,26593.78264,FALSE,27.15328467,Elford,Elford_ER_BR_8,146.2331065,-16.90815103,-8.721807263,157
ER_BR_9,Back Reef,20334.31449,FALSE,21.11904762,Elford,Elford_ER_BR_9,146.2181238,-16.90737885,-8.046009141,199
ER_C_1,Crest,131481.4036,FALSE,36.96750903,Elford,Elford_ER_C_1,146.2978562,-16.91970403,-1.046912746,13
ER_C_10,Crest,90463.15114,FALSE,31.96202532,Elford,Elford_ER_C_10,146.2984282,-16.91387958,-1.108489433,10
ER_C_11,Crest,54785.65417,FALSE,41.85248714,Elford,Elford_ER_C_11,146.2729302,-16.93045567,-1.693335778,55
ER_C_12,Crest,312.9893114,FALSE,25,Elford,Elford_ER_C_12,146.2493013,-16.92532595,-1.515333335,101
ER_C_2,Crest,100181.2991,FALSE,11.17424242,Elford,Elford_ER_C_2,146.2849309,-16.92725615,-1.248184262,31
ER_C_3,Crest,76044.65694,FALSE,40.72229141,Elford,Elford_ER_C_3,146.2303722,-16.92294658,-1.246804972,161
ER_C_4,Crest,60109.49597,FALSE,51.81674566,Elford,Elford_ER_C_4,146.2943572,-16.92460958,-1.283197349,17
ER_C_5,Crest,42261.42923,FALSE,26.35135135,Elford,Elford_ER_C_5,146.2665649,-16.93021413,-1.497098364,69
ER_C_6,Crest,12832.63163,FALSE,83.82352941,Elford,Elford_ER_C_6,146.2937454,-16.90981146,-1.464837207,20
ER_C_7,Crest,57605.03185,FALSE,31.23966942,Elford,Elford_ER_C_7,146.2894685,-16.92644931,-1.25616926,24
ER_C_8,Crest,118024.5029,FALSE,29.04263878,Elford,Elford_ER_C_8,146.2799359,-16.92823573,-1.222390346,40
ER_C_9,Crest,60083.839,FALSE,47.03821656,Elford,Elford_ER_C_9,146.2259379,-16.92371844,-1.281652173,176
