"","siteref","x","y","site_id","habitat","area","rubble","k","Reef","reef_siteid","long","lat"
"125","L_79",22,59,"1_C_4","Crest",56027.8695437023,FALSE,5.69514237855946,19146100104,"19146100104_1_C_4",149.637564227864,-19.6288392183176
"126","L_79",22,59,"1_IF_2","Inner Flat",107077.951449417,FALSE,49.0451388888889,19146100104,"19146100104_1_IF_2",149.636433405539,-19.6258464746435
"127","L_79",22,59,"1_OF_3","Outer Flat",84868.2181286542,FALSE,42.7322404371585,19146100104,"19146100104_1_OF_3",149.637170591932,-19.6269164742375
"128","L_79",22,59,"1_SS_4","Sheltered Slope",71939.4136502529,FALSE,28.9986824769433,19146100104,"19146100104_1_SS_4",149.638540599218,-19.6269250367754
"129","L_80",26,65,"1_SS_1","Sheltered Slope",8947.1869505574,FALSE,15.1704545454545,19146100104,"19146100104_1_SS_1",149.62894198543,-19.5989684408506
"130","L_81",25,67,"1_SS_2","Sheltered Slope",4639.00659557804,FALSE,3.92156862745098,19146100104,"19146100104_1_SS_2",149.619759756879,-19.5969349831765
"131","L_81",25,67,"1_S_4","Slope",141161.598770648,FALSE,20.4866666666667,19146100104,"19146100104_1_S_4",149.620520488344,-19.5983944568784
"132","L_82",22,60,"1_SS_3","Sheltered Slope",128953.808073959,FALSE,22.0866715222141,19146100104,"19146100104_1_SS_3",149.635412681226,-19.6239626869364
"133","L_82",22,60,"1_S_10","Slope",36134.8086471865,FALSE,24.2219387755102,19146100104,"19146100104_1_S_10",149.634062924101,-19.6266957161085
"134","L_83",27,64,"1_S_1","Slope",80524.4762367606,FALSE,20.0174418604651,19146100104,"19146100104_1_S_1",149.633811018475,-19.5976274965676
"135","L_84",22,63,"1_S_11","Slope",41100.7149098781,FALSE,35,19146100104,"19146100104_1_S_11",149.625189783137,-19.61706934741
"136","L_85",25,60,"1_S_12","Slope",16904.6261927481,FALSE,22.9395604395604,19146100104,"19146100104_1_S_12",149.63993443135,-19.6148173370661
"137","L_86",26,67,"1_S_3","Slope",9277.86068682326,FALSE,27.1938775510204,19146100104,"19146100104_1_S_3",149.624192228432,-19.5947089262579
"138","L_87",23,60,"1_S_7","Slope",54694.9633000125,FALSE,19.594127806563,19146100104,"19146100104_1_S_7",149.634715405119,-19.6206531218938
"139","L_88",22,58,"1_S_8","Slope",75920.6375371898,FALSE,18.3663366336634,19146100104,"19146100104_1_S_8",149.6401453864,-19.6293668713252
"140","L_89",28,62,"1_S_9","Slope",78212.7601539101,FALSE,35,19146100104,"19146100104_1_S_9",149.642004327081,-19.6028829285434
"141","L_90",28,59,"1_BR_1","Back Reef",19555.2867655684,FALSE,29.6462264150943,19147100104,"19147100104_1_BR_1",149.650134025079,-19.6085847929266
