site_id,DHW16,DHW17,DHW20
ER_C_11,10.2656,3.5093,4.693
ER_C_12,9.6944,3.4773,4.5594
ER_C_2,10.8848,3.8988,5.3611
ER_C_3,10.4088,4.2831,5.8117
ER_C_4,11.3987,4.2454,5.8936
ER_C_5,10.0334,3.411,4.4636
ER_C_6,11.036,4.2156,5.6994
ER_C_7,11.2814,4.1456,5.7475
ER_C_8,10.4705,3.6249,4.9021
ER_C_9,11.0325,4.7395,6.5657
ER_IF_1,11.0284,4.0749,5.5406
ER_IF_10,11.3106,5.0589,7.345
ER_IF_11,10.5746,4.5686,6.3757
ER_IF_12,11.0058,4.846,6.8022
ER_IF_13,9.9996,3.3109,4.3597
ER_IF_14,9.8511,3.8793,5.2033
ER_IF_15,9.4184,3.0847,3.918
ER_IF_16,10.8627,3.9094,5.3328
ER_IF_17,10.9041,4.0807,5.4764
ER_IF_18,11.7627,5.3975,7.9624
ER_IF_19,10.5711,4.4747,6.0907
ER_IF_2,10.5829,3.8478,5.0721
ER_IF_20,10.9686,4.7619,6.5612
ER_IF_21,13.0777,6.4848,9.6488
ER_IF_22,10.4339,3.6764,4.8477
ER_IF_23,9.5387,3.5588,4.7188
ER_IF_24,10.1435,4.1864,5.6877
ER_IF_25,9.614,3.0602,3.9192
ER_IF_26,9.0864,3.0407,3.7464
ER_IF_3,11.7154,5.3592,7.7331
ER_IF_4,9.9411,3.9716,5.3649
ER_IF_5,12.1602,5.7349,8.5411
ER_IF_6,10.8355,3.8972,5.2884
ER_IF_7,9.4469,3.0051,3.8051
ER_IF_8,9.8719,3.2651,4.2134
ER_IF_9,10.2442,3.5067,4.656
ER_OF_1,9.5549,3.4022,4.4209
ER_OF_10,10.1763,3.4398,4.5666
ER_OF_11,10.0603,3.4027,4.4646
ER_OF_12,9.3772,3.1779,4.0099
ER_OF_13,9.9595,3.854,5.1819
ER_OF_14,12.6706,6.1298,9.153
ER_OF_15,9.7631,3.2963,4.2323
ER_OF_16,9.0492,2.8899,3.5663
ER_OF_17,11.1879,4.9839,7.1932
ER_OF_18,10.1435,4.1864,5.6877
ER_OF_19,9.4537,3.4952,4.6091
