Year,maxDHW,RCP,Reef
2036,11.38990961,4.5,Milln
2037,14.0590844,4.5,Milln
2038,0,4.5,Milln
2039,11.43327515,4.5,Milln
2040,0.814883504,4.5,Milln
2041,6.796203927,4.5,Milln
2042,0,4.5,Milln
2043,4.035530802,4.5,Milln
2044,5.502269812,4.5,Milln
2045,2.369514321,4.5,Milln
2046,3.004126645,4.5,Milln
2047,3.247685066,4.5,Milln
2048,0,4.5,Milln
2049,6.805036182,4.5,Milln
2050,4.601798504,4.5,Milln
2051,6.763534108,4.5,Milln
2052,13.55915756,4.5,Milln
2053,12.02917493,4.5,Milln
2054,2.684470838,4.5,Milln
2055,6.289890959,4.5,Milln
2056,6.789081608,4.5,Milln
2057,4.141104937,4.5,Milln
2058,7.574016451,4.5,Milln
2059,10.39164842,4.5,Milln
2060,2.260310876,4.5,Milln
2061,9.835448024,4.5,Milln
2062,3.459652217,4.5,Milln
2063,5.020679157,4.5,Milln
2064,14.24955962,4.5,Milln
2065,3.761631277,4.5,Milln
2066,10.46813221,4.5,Milln
2067,5.429391008,4.5,Milln
2068,9.096261899,4.5,Milln
2069,10.52219945,4.5,Milln
2070,3.660112038,4.5,Milln
2071,21.34840484,4.5,Milln
2072,10.9652918,4.5,Milln
2073,4.970386092,4.5,Milln
2074,18.54374855,4.5,Milln
2075,25.04452074,4.5,Milln
2076,10.21650147,4.5,Milln
2077,14.99033783,4.5,Milln
2078,10.12535681,4.5,Milln
2079,8.802490588,4.5,Milln
2080,12.384877,4.5,Milln
2081,23.16008351,4.5,Milln
2082,7.508189725,4.5,Milln
2083,19.50154444,4.5,Milln
2084,6.940984556,4.5,Milln
2085,26.51953976,4.5,Milln
2086,19.3009064,4.5,Milln
2087,21.85494332,4.5,Milln
2088,9.221306464,4.5,Milln
2089,19.28655494,4.5,Milln
2090,21.15946373,4.5,Milln
2091,5.370498524,4.5,Milln
2092,21.58880863,4.5,Milln
2093,10.99687537,4.5,Milln
2094,26.17743779,4.5,Milln
2095,18.12601282,4.5,Milln
2096,11.29433861,4.5,Milln
2097,9.668327413,4.5,Milln
2098,1.309667045,4.5,Milln
2099,11.24374596,4.5,Milln
2021,0.905146156,6,Milln
2022,2.180512023,6,Milln
2023,0.30873047,6,Milln
2024,3.014337411,6,Milln
2025,0,6,Milln
2026,1.301223361,6,Milln
2027,13.3670261,6,Milln
2028,3.882348327,6,Milln
2029,0.448032404,6,Milln
2030,4.715448927,6,Milln
2031,0.299644675,6,Milln
2032,2.753062647,6,Milln
2033,0,6,Milln
2034,0,6,Milln
2035,0.704504864,6,Milln
2036,0,6,Milln
2037,0,6,Milln
2038,0.936452456,6,Milln
2039,7.786479233,6,Milln
2040,0.777114158,6,Milln
2041,15.58961197,6,Milln
2042,12.52097283,6,Milln
2043,7.374945823,6,Milln
