site_id,habitat,benthic,rubble,k,Reef
ER_SS_6,Sheltered Slope,Hard Substrate,0,69.21052631578948,Elford
ER_SS_7,Sheltered Slope,Hard Substrate,0,54.75728155339806,Elford
ER_SS_8,Sheltered Slope,Rock,0,94.42508710801394,Elford
ER_S_1,Slope,Rock,0,75.88337039782554,Elford
ER_S_10,Slope,Rock,0,99.59366111336855,Elford
ER_S_11,Slope,Rock,0,92.24211423699914,Elford
ER_S_13,Slope,Rock,0,70.19483938915218,Elford
ER_S_14,Slope,Rock,0,79.695885509839,Elford
ER_S_16,Slope,Rock,0,66.12517916865743,Elford
ER_S_17,Slope,Rock,0,92.68451992161985,Elford
ER_S_19,Slope,Rock,0,67.72388059701493,Elford
ER_S_2,Slope,Rock,0,65.15,Elford
ER_S_20,Slope,Rock,0,74.72808701215611,Elford
ER_S_23,Slope,Rock,0,80.99173553719008,Elford
ER_S_24,Slope,Rock,0,80.79561042524006,Elford
ER_S_25,Slope,Rock,0,83.16115702479338,Elford
ER_S_26,Slope,Rock,0,93.73412362404741,Elford
ER_S_28,Slope,Rock,0,76.38603696098562,Elford
ER_S_29,Slope,Rock,0,70.11834319526628,Elford
ER_S_3,Slope,Rock,0,84.1792656587473,Elford
ER_S_30,Slope,Rock,0,95.11378848728246,Elford
ER_S_32,Slope,Rock,0,99.38900203665987,Elford
ER_S_33,Slope,Rock,0,77.26347914547304,Elford
ER_S_34,Slope,Hard Substrate,0,75.13330101793504,Elford
ER_S_36,Slope,Rock,0,69.6,Elford
ER_S_38,Slope,Rock,0,98.93333333333334,Elford
ER_S_39,Slope,Rock,0,91.66666666666667,Elford
ER_S_4,Slope,Rock,0,74.7005988023952,Elford
ER_S_40,Slope,Rock,0,71.84527584020292,Elford
ER_S_41,Slope,Rock,0,68.10877626699629,Elford
ER_S_42,Slope,Rock,0,96.7479674796748,Elford
ER_S_43,Slope,Rock,0,54.03377110694184,Elford
ER_S_44,Slope,Rock,0,64.73317865429235,Elford
ER_S_45,Slope,Rock,0,60.49149338374291,Elford
ER_S_46,Slope,Rock,0,53.86533665835412,Elford
ER_S_47,Slope,Rock,0,95.31914893617021,Elford
ER_S_48,Slope,Rock,0,77.41273100616016,Elford
ER_S_49,Slope,Rock,0,68.70342771982116,Elford
ER_S_5,Slope,Rock,0,49.31856899488927,Elford
ER_S_6,Slope,Rock,0,99.60339943342777,Elford
ER_S_7,Slope,Rock,0,89.5373665480427,Elford
ER_S_8,Slope,Rock,0,81.97747183979975,Elford
ER_S_9,Slope,Rock,0,77.91057990261177,Elford
BR_BR_1,Back Reef,Hard Substrate,0,38.80597014925373,Briggs
BR_C_1,Crest,Rock,0,27.083333333333332,Briggs
BR_IF_1,Inner Flat,Hard Substrate,0,49.86807387862797,Briggs
BR_OF_1,Outer Flat,Hard Substrate,0,75.18796992481202,Briggs
BR_OF_2,Outer Flat,Hard Substrate,0,48.019378740381875,Briggs
BR_SS_1,Sheltered Slope,Rock,0,40.65040650406504,Briggs
BR_S_1,Slope,Rock,0,74.75728155339806,Briggs
BR_S_2,Slope,Rock,0,76.06837606837607,Briggs
BR_S_3,Slope,Rock,0,58.16326530612245,Briggs
