"","lat","long","siteref","site_id","habitat","area","rubble","k","Reef","reef_siteid","x","y"
"91",-19.6423768204905,149.690736090024,"L_91","1_BR_10","Back Reef",15919.0739375781,FALSE,28.5185185185185,19147100104,"19147100104_1_BR_10",28,46
"92",-19.646175407177,149.68101326983,"L_92","1_BR_11","Back Reef",8291.35887584696,FALSE,20.0555555555556,19147100104,"19147100104_1_BR_11",25,47
"93",-19.6123926720216,149.653678884109,"L_93","1_BR_2","Back Reef",14584.5558127984,TRUE,13.2,19147100104,"19147100104_1_BR_2",28,58
"94",-19.6158307864135,149.656107433469,"L_94","1_BR_3","Back Reef",29502.2413801323,FALSE,41.7675159235669,19147100104,"19147100104_1_BR_3",27,57
"95",-19.6259397004246,149.665053341664,"L_95","1_BR_4","Back Reef",19229.479409629,FALSE,33.0392156862745,19147100104,"19147100104_1_BR_4",27,54
"96",-19.6257627173283,149.683532492596,"L_96","1_BR_5","Back Reef",8289.05594796408,FALSE,35,19147100104,"19147100104_1_BR_5",30,50
"97",-19.6270442347843,149.652003314342,"L_97","1_BR_6","Back Reef",6962.20320268394,FALSE,23.6,19147100104,"19147100104_1_BR_6",24,56
"98",-19.6341005243354,149.685676399675,"L_98","1_BR_7","Back Reef",31170.7160682892,FALSE,20.9131736526946,19147100104,"19147100104_1_BR_7",28,48
"99",-19.6355293530638,149.691285932231,"L_99","1_BR_8","Back Reef",32829.9989940869,FALSE,30.3834808259587,19147100104,"19147100104_1_BR_8",29,47
"100",-19.6374564863404,149.653981527515,"L_100","1_BR_9","Back Reef",32495.2394233709,FALSE,16.5160349854227,19147100104,"19147100104_1_BR_9",23,54
"101",-19.611463421118,149.657988991175,"L_101","1_C_1","Crest",148828.958110985,FALSE,39.1959798994975,19147100104,"19147100104_1_C_1",29,57
"102",-19.6197285734871,149.668205220596,"L_102","1_C_2","Crest",112384.375187695,FALSE,36.5752285951787,19147100104,"19147100104_1_C_2",29,54
"103",-19.6149812924375,149.663499675729,"L_103","1_C_3","Crest",111380.66055189,FALSE,31.1918850380389,19147100104,"19147100104_1_C_3",29,56
"104",-19.6247277509124,149.688449307262,"L_104","1_C_6","Crest",120688.867402504,FALSE,39.5042602633617,19147100104,"19147100104_1_C_6",31,49
"105",-19.647056865808,149.686690269982,"L_105","1_C_7","Crest",123047.596275013,FALSE,6.12088752869166,19147100104,"19147100104_1_C_7",26,46
"106",-19.6283127730131,149.6927386576,"L_106","1_C_8","Crest",45427.034952384,FALSE,17.8778467908903,19147100104,"19147100104_1_C_8",31,48
"107",-19.6291396646083,149.688321992184,"L_107","1_IF_1","Inner Flat",156507.27099895,FALSE,67.3860911270983,19147100104,"19147100104_1_IF_1",30,49
"108",-19.6219505798541,149.663929428604,"L_108","1_IF_2","Inner Flat",164766.909504396,FALSE,63.4451392836839,19147100104,"19147100104_1_IF_2",27,55
"109",-19.6166718480403,149.660292887074,"L_109","1_IF_3","Inner Flat",112376.5989391,FALSE,58.4307178631052,19147100104,"19147100104_1_IF_3",28,56
"110",-19.6260373477384,149.656064135311,"L_110","1_IF_5","Inner Flat",24864.9967122953,FALSE,47.9553903345725,19147100104,"19147100104_1_IF_5",25,55
"111",-19.6457218244692,149.685446277473,"L_111","1_OF_1","Outer Flat",126693.017524167,FALSE,33.8246131171702,19147100104,"19147100104_1_OF_1",26,47
"112",-19.6222926028403,149.666239096918,"L_112","1_OF_2","Outer Flat",290086.206025537,FALSE,41.6478190630048,19147100104,"19147100104_1_OF_2",28,54
"113",-19.6251656763363,149.661023204467,"L_113","1_OF_4","Outer Flat",122999.376644846,FALSE,56.2071591774562,19147100104,"19147100104_1_OF_4",26,55
"114",-19.6312759242744,149.691650825109,"L_114","1_OF_7","Outer Flat",158834.857769073,FALSE,45.0795521508544,19147100104,"19147100104_1_OF_7",30,48
"115",-19.6181726883791,149.664019859219,"L_115","1_OF_8","Outer Flat",75583.2501784102,FALSE,46.5432098765432,19147100104,"19147100104_1_OF_8",28,55
"116",-19.6212614359186,149.658756101214,"L_116","1_OF_9","Outer Flat",108073.579393976,FALSE,61.3183000867303,19147100104,"19147100104_1_OF_9",27,56
