,lat,long,siteref,site_id,habitat,area,rubble,k,Reef,reef_siteid,x,y,recom_connectivity,sitedepth
123,-19.64284178,149.6886334,L_123,1_S_1,Slope,192687.0396,FALSE,23.8950677,19147100104,19147100104_1_S_1,27,46,L_123_V1,0
124,-19.62695876,149.6638648,L_124,1_S_10,Slope,101784.6769,FALSE,20.47838086,19147100104,19147100104_1_S_10,26,54,L_124_V1,0
125,-19.62591668,149.6681732,L_125,1_S_13,Slope,65314.57755,FALSE,23.8705036,19147100104,19147100104_1_S_13,27,53,L_125_V1,0
126,-19.63118689,149.6651959,L_126,1_S_19,Slope,59682.11455,FALSE,22.37089202,19147100104,19147100104_1_S_19,26,53,L_126_V1,0
127,-19.62307479,149.6863272,L_127,1_S_2,Slope,107754.6629,FALSE,30.28187337,19147100104,19147100104_1_S_2,31,50,L_127_V1,0
128,-19.64289769,149.6628429,L_128,1_S_22,Slope,994.8574105,FALSE,35,19147100104,19147100104_1_S_22,23,52,L_128_V1,0
129,-19.60876381,149.6562685,L_129,1_S_3,Slope,44414.72224,FALSE,15.92827004,19147100104,19147100104_1_S_3,29,58,L_129_V1,0
130,-19.64952469,149.6804381,L_130,1_S_4,Slope,30845.24323,FALSE,22.59146341,19147100104,19147100104_1_S_4,24,47,L_130_V1,0
131,-19.63267075,149.6936775,L_131,1_S_5,Slope,68642.33529,FALSE,16.46657572,19147100104,19147100104_1_S_5,30,47,L_131_V1,0
132,-19.63603335,149.6509044,L_132,1_S_7,Slope,91514.44137,FALSE,21.74024641,19147100104,19147100104_1_S_7,22,55,L_132_V1,0
133,-19.61938014,149.6772942,L_133,1_S_8,Slope,91169.56941,FALSE,28.69144603,19147100104,19147100104_1_S_8,30,52,L_133_V1,0
134,-19.61659146,149.6667604,L_134,1_S_9,Slope,52708.68193,FALSE,32.22423146,19147100104,19147100104_1_S_9,29,55,L_134_V1,0
135,-19.60649055,149.7180586,L_135,1_BR_1,Back Reef,22874.21141,FALSE,11.6122449,19149100104,19149100104_1_BR_1,39,46,L_135_V1,0
136,-19.60884082,149.7230374,L_136,1_BR_2,Back Reef,19560.07359,FALSE,38.7254902,19149100104,19149100104_1_BR_2,40,45,L_136_V1,0
137,-19.60609659,149.7261367,L_137,1_C_1,Crest,126308.0778,FALSE,18.99482631,19149100104,19149100104_1_C_1,41,45,L_137_V1,0
138,-19.606541,149.7184068,L_138,1_C_2,Crest,46080.0186,FALSE,18.29268293,19149100104,19149100104_1_C_2,40,46,L_138_V1,0
139,-19.61036824,149.7307964,L_139,1_C_3,Crest,62993.02057,FALSE,22.55639098,19149100104,19149100104_1_C_3,41,43,L_139_V1,0
140,-19.61264849,149.7216778,L_140,1_IF_1,Inner Flat,263576.6161,FALSE,66.10953058,19149100104,19149100104_1_IF_1,39,45,L_140_V1,0
141,-19.60988193,149.7279993,L_141,1_OF_2,Outer Flat,214835.9176,FALSE,52.7486911,19149100104,19149100104_1_OF_2,40,44,L_141_V1,0
142,-19.61355842,149.7259872,L_142,1_OF_3,Outer Flat,225455.2478,FALSE,52.86516854,19149100104,19149100104_1_OF_3,39,44,L_142_V1,0
143,-19.61543106,149.7330845,L_143,1_P_1,Patch,2984.114273,FALSE,12.5,19149100104,19149100104_1_P_1,40,42,L_143_V1,0
144,-19.61157405,149.7165716,L_144,1_SS_1,Sheltered Slope,58018.16184,FALSE,25.32414911,19149100104,19149100104_1_SS_1,38,46,L_144_V1,0
145,-19.61595973,149.7261106,L_145,1_SS_2,Sheltered Slope,5305.010405,FALSE,40.35087719,19149100104,19149100104_1_SS_2,39,43,L_145_V1,0
146,-19.61365919,149.7319581,L_146,1_S_2,Slope,315643.9684,FALSE,18.32393112,19149100104,19149100104_1_S_2,40,43,L_146_V1,0
147,-19.61414036,149.7180548,L_147,1_S_5,Slope,23208.21395,FALSE,40.62248996,19149100104,19149100104_1_S_5,38,45,L_147_V1,0
148,-19.62443009,149.7246417,L_148,1_S_1,Slope,125676.761,FALSE,18.93759287,19150100104,19150100104_1_S_1,37,42,L_148_V1,0
